userID,cluster
605,0
606,6
607,2
608,2
609,1
610,8
611,6
612,5
613,5
614,6
615,8
616,5
617,5
618,8
619,5
620,8
621,2
622,6
623,1
624,5
625,6
626,5
627,0
628,1
629,2
630,5
631,3
632,2
633,8
634,5
635,1
636,1
637,5
638,1
639,9
640,8
641,2
642,0
643,5
644,5
645,8
646,1
647,5
648,5
649,4
650,5
651,5
652,2
653,5
654,5
655,5
656,2
657,2
658,1
659,8
660,2
661,6
662,3
663,2
664,0
665,0
666,5
667,1
668,5
669,7
670,5
671,4
672,3
673,2
674,8
675,6
676,6
677,5
678,5
679,5
680,6
681,0
682,6
683,5
684,5
685,5
686,1
687,5
688,9
689,5
690,1
691,5
692,5
693,3
694,6
695,2
696,7
697,1
698,1
699,5
700,4
701,1
702,2
703,8
704,3
705,4
706,1
707,3
708,5
709,2
710,8
711,1
712,3
713,2
714,5
715,2
716,4
717,1
718,5
719,2
720,5
721,5
722,1
723,8
724,6
725,1
726,1
727,2
728,2
729,1
730,1
731,4
732,7
733,7
734,5
735,5
736,8
737,1
738,5
739,1
740,5
741,1
742,0
743,1
744,5
745,5
746,5
747,5
748,5
749,2
750,6
751,2
752,5
753,3
754,2
755,1
756,9
757,2
758,0
759,5
760,7
761,5
762,5
763,9
764,4
765,8
766,2
767,2
768,5
769,9
770,1
771,0
772,1
773,8
774,5
775,6
776,6
777,9
778,5
779,4
780,6
781,9
782,1
783,9
784,5
785,1
786,0
787,6
788,5
789,7
790,5
791,6
792,6
793,1
794,4
795,6
796,5
797,1
798,6
799,1
800,1
801,3
802,1
803,1
804,4
805,5
806,4
807,6
808,6
809,5
810,1
811,5
812,6
813,9
814,7
815,2
816,5
817,7
818,2
819,5
820,2
821,5
822,9
823,8
824,5
825,1
826,3
827,0
828,1
829,9
830,6
831,0
832,5
833,1
834,1
835,1
836,1
837,6
838,1
839,1
840,5
841,6
842,6
843,5
844,0
845,7
846,5
847,2
848,0
849,5
850,5
851,5
852,6
853,5
854,1
855,2
856,5
857,6
858,8
859,5
860,5
861,9
862,1
863,6
864,6
865,5
866,7
867,9
868,1
869,5
870,2
871,5
872,1
873,5
874,5
875,1
876,2
877,2
878,8
879,8
880,8
881,5
882,0
883,5
884,1
885,2
886,8
887,4
888,8
889,2
890,5
891,3
892,5
893,0
894,8
895,6
896,8
897,2
898,2
899,2
900,3
901,2
902,9
903,8
904,5
905,5
906,4
907,2
908,1
909,5
910,5
911,5
912,7
913,5
914,7
915,6
916,0
917,2
918,9
919,2
920,2
921,3
922,6
923,5
924,2
925,2
926,5
927,5
928,1
929,5
930,1
931,8
932,1
933,4
934,0
935,5
936,7
937,5
938,5
939,8
940,0
941,4
942,3
943,1
